name,model,train_time,test_time,pred_one_time,accuracy,precision,recall,f1
hrcprasad,CNN,0.07431721687316895,5.602836608886719e-05,0.01,0.9464285714285714,0.9490523182957393,0.9464285714285714,0.9464321802131516
hrcprasad,CNN,194.3161916732788,1.9788742065429688e-05,0.01,0.9464285714285714,0.960875496031746,0.9464285714285714,0.949380036828465
